"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"70/1","12.03.2007","12.03.2019","система акустической и вибрационной защиты «Кабинет»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","Нижегородский НТЦ ФГУП «НПП «Гамма»",,"Отделение – Национальный Банк по Республике Марий Эл 
Волго-Вятского главного управления Банка России","424000, г. Йошкар-Ола, ул. Палантая, д. 67, (8362) 68-14-00",
"70/6","18.05.2012","18.05.2021","система акустической и вибрационной защиты «Кабинет»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","Управление Федерального казначейства по Чувашской Республике","428018, г. Чебоксары, ул. Нижегородская, д. 2, корп. 1, (8352) 392-101",
"105/20","15.06.2007","15.06.2019","виброакустический  шумогенератор ANG-2000","Соответствует требованиям документов: НМД АРР-2000","2","ООО «ОТС-СИСТЕМА»",,"Главное управление Банка России по Мурманской области","183038, г. Мурманск, ул. Профсоюзов, д. 11, (8152) 68-029",
"109","19.09.1997","19.09.2023","устройство защиты МП-1А","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","серия","АО «РНТ»","Гостехкомиссия России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159",
"110","19.09.1997","19.08.2023","устройство защиты МП-1Ц","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","серия","АО «РНТ»","Гостехкомиссия России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159",
"126/4","09.06.2003","03.08.2018","VNG-006DM","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ФГУП «НПП «Гамма»","Гостехкомиссия России","Отделение по Тверской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу","170100, г. Тверь, ул. Советская, д. 13, (4822) 32-0392",
"148/2","01.04.2004","01.04.2019","фильтр сетевой помехоподавляющий ФСП-1Ф-7А","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","ФСТЭК России","АО «Приборостроитель»","188800 г. Выборг, ул. Данилова, д. 15, (81378) 25-407",
"149/2","09.04.2004","09.04.2019","генератор шума «ГНОМ-3»","Соответствует требованиям документов: РД САЗ ПЭМИН-87","срок действия продлен для СЗИ, эксплуатируемых на ОИ","АО «ФЦНИВТ «СНПО «Элерон»","ФСТЭК России","АО «Приборостроитель»","188800 г. Выборг, ул. Данилова, д. 15, (81378) 25-407",
"153/12","29.12.2011","29.12.2020","комплекс СЗИ от НСД «Аккорд 1.95» (модификация «Аккорд- 1.95/1.12- 4+»)","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","1","Государственное унитарное дочернее предприятие ФГУП «Красноармейский НИИ механизации «Безопасность информационных технологий и компонентов»","Гостехкомиссия России","АО «ГРЦ Макеева»","456300, Челябинская обл., г. Миасс, Тургоякское шоссе, д. 1, (3513) 286-370","29.12.2020"
"153/13","06.04.2012","06.04.2021","комплекс системы защиты информации от несанкционированного доступа «Аккорд-1.95 (версия 6.0)»","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","2","АО «БИТК»","Гостехкомиссия России","АО «ГРЦ Макеева»","456300, Челябинская обл., г. Миасс, Тургоякское шоссе, д. 1, (3513) 286-370","06.04.2021"
"214/1","26.07.2002","01.08.2020","фильтр сетевой помехоподавляющий ФСПК-10-220-99-УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","31.12.2034"
"224/4/5","14.02.2011","14.02.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","16","Ю-УР ж.д. ОАО «РЖД»",,"Ю-УР ж.д. ОАО «РЖД»","454000, г. Челябинск, пл. Революции, дом 3, (3512) 384-032, 383-474",
"224/6","24.12.2010","24.12.2019","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «ЦБИ»",,"Главное управление Центрального банка Российской Федерации","115035, г. Москва, ул. Балчуг, д. 2 (495) 959-0834",
"224/7","24.12.2010","24.12.2019","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «Альфа-защита»",,"Национальный банк по Республике Татарстан Волго-Вятского главного управления Центрального банка Российской Федерации","420013, г. Казань, ул. Баумана, д. 37, (843) 235-0500",
"224/11","24.12.2010","24.12.2019","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","МВД по Республике Коми",,"МВД по Республике Коми","167983, г. Сыктывкар, ул. Кирова, д. 38, (8212) 28-22-80, (8212) 28-2260",
"224/20","17.01.2011","17.01.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","АО «Концерн «Автоматика»","127106, г. Москва, ул. Ботаническая, д. 25, (495) 219-32-93, 219-30-41",
"224/26","04.03.2011","04.03.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","6","Аппарат Губернатора и Правительства Омской области",,"Аппарат Губернатора и Правительства Омской области","644002, г. Омск, ул. Красный Путь, дом 1, (3812) 35-70-35",
"224/27","04.03.2011","04.03.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «ЦБИ «МАСКОМ»",,"Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",
"224/29","04.03.2011","04.03.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ФГУП «18 ЦНИИ» МО России",,"ФГУП «18 ЦНИИ» МО России","305004, г. Курск, ул. Блинова, Д. 23, (4712) 58-8752",
"224/39","09.11.2011","09.11.2020","система постановки виброакустических
и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","4","ООО «ЦБИ»","Гостехкомиссия России","ГУБЗИ ЦБ РФ","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4324",
"224/40","29.12.2011","29.12.2020","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","УФСИН России по Омской области","644007, г. Омск, ул. Орджоникидзе, д. 86, (3812) 24-1011",
"224/43","21.01.2013","21.01.2019","система постановки виброакустических и акустических помех «Шорох-2»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","=#N/A",,"Управление делами Губернатора Новосибирской области и Правительства Новосибирской области","630011, г. Новосибирск, Красный пр-т, д. 18, (383) 222-4615",
"246/7","13.08.2007","13.08.2019","программно-аппаратный комплекс средств защиты информации от несанкционированного доступа «Аккорд-АМДЗ»","Соответствует требованиям документов: Требования к СДЗ, Профиль защиты СДЗ(платы расширения второго класса защиты. ИТ.СДЗ.ПР2.ПЗ)","серия","АО «БИТК»","ФСТЭК России","ЗАО «ОКБ САПР»","115114, г. Москва, 2-й Кожевнический переулок, д. 12, эт. 2, пом. I, ком. 21, (495) 994-7262","13.08.2022"
"263/6/1","07.02.2006","07.02.2021","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: НМД АРР-2000","1","ООО НПФ «ПРОМТЕХН»","Гостехкомиссия России","ОАО «Ангарская нефтехимическая компания»","665830, Иркутская обл., г. Ангарск, ОАО «АНХК», (3955) 57-5235",
"263/16","26.07.2013","26.07.2019","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: НМД АРР-2000","1","ООО НПФ «ПРОМТЕХН»","Гостехкомиссия России","Территориальный орган Федеральной службы государственной статистики по Иркутской области","664025, Иркутск, Чкалова ул., д. 39, (3952) 342-942","26.07.2016"
"263/17","03.08.2007","03.08.2019","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: ТУ","5","В-СИБ ж.д. ОАО «РЖД»",,"В-СИБ ж.д. ОАО «РЖД»","664003, г. Иркутск, ул. Карла Маркса, дом 7, (3952) 64-43-75, моб. 8(950) 089-98-00 Евтеев Дмитрий Николаевич нач. отдела ТЗИ и аттестации объектовинформатизации первой службы",
"263/22","08.12.2009","08.12.2018","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО по защите информации «Секрет-Сервис»","Гостехкомиссия России","ТЭЦ-10 ОАО «Иркутскэнерго»","665828, Иркутская обл., г. Ангарск, 2-ой промышленный массив, квартал 41, стр. 3, (83955) 50-1180",
"263/23","08.12.2009","08.12.2018","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО по защите информации «Секрет-Сервис»","Гостехкомиссия России","Филиал ПАО «Иркутскэнерго» ТЭЦ-9","665821, Иркутская обл., г. Ангарск, ТЭЦ-9, а/я 5572, (3955) 50-3359",
"263/24","08.12.2009","08.12.2018","система постановки виброакустических помех «Шторм»","Соответствует требованиям документов: НМД АРР-2000, ТУ","3","ООО НПФ «ПРОМТЕХН»","ООО по защите информации «Секрет-Сервис»","Ангарское муниципальное образование Иркутской области","665830, Иркутская обл., г. Ангарск, пл. им. Ленина, (3955) 52-2396",
"292/1/1","11.04.2018","13.04.2021","ОС MS Windows NT 4.0 Server","Соответствует требованиям документов: РД НДВ(3)","1","=#N/A","АО Центр «Атомзащитаинформ»","ПАО «НЗКХ»","630110, г. Новосибирск, ул. Б. Хмельницкого, д. 94, (383) 274-8132, 274-8346",
"293/1/1","11.04.2018","13.04.2021","встроенные средства защиты ОС MS Windows NT 4.0 Workstation (Russian) с пакетом обновления Service Pack 5 (Russian)","Соответствует требованиям документов: ТЗИ НСД СУиК ЯМ-1997(3)","1","=#N/A","АО Центр «Атомзащитаинформ»","ПАО «НЗКХ»","630110, г. Новосибирск, ул. Б. Хмельницкого, д. 94, (383) 274-8132, 274-8346",
"337","17.07.2000","17.07.2021","генератор шума ГШ-1000М","Соответствует требованиям документов: РД САЗ ПЭМИН-87","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ГП ЦФТИ Минобороны России","АО Центр «Атомзащитаинформ»","ФГУП СКБ ИРЭ РАН","141190, Московская обл., г. Фрязино, площадь Введенского, д. 1, 8 (496) 565 24-03, (495) 988-2825",
"337/30","17.07.2000","17.07.2021","генератор шума ГШ-1000М","Соответствует требованиям документов: РД САЗ ПЭМИН-87","1","ГП ЦФТИ Минобороны России","АО Центр «Атомзащитаинформ»","Отделение по Астраханской области Южного главного управления Центрального банка Российской Федерации","414000, г. Астрахань, ул. Никольская, д. 3, (8512) 32-6024",
"338","17.07.2000","17.07.2021","генератор шума ГШ-К-1000М","Соответствует требованиям документов: РД САЗ ПЭМИН-87","срок действия продлен для СЗИ, эксплуатируемых на ОИ","ГП ЦФТИ Минобороны России","АО Центр «Атомзащитаинформ»","ФГУП СКБ ИРЭ РАН","141190, Московская обл., г. Фрязино, площадь Введенского, д. 1, 8 (496) 565 24-03, (495) 988-2825",
"359/5","03.05.2006","03.05.2023","программно-аппаратный комплекс «Сервер безопасности DioNIS Security Server» с встроенным межсетевым экраном «DioNIS Firewall» (модификации «DioNIS TS/FW 16000», «DioNIS TS/FW 160FD», «DioNIS TS/FW 1600R, «DioNIS TS/FW 1600V»)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(2)","6349","ООО НТЦ «Безопасность информационных технологий и систем»","ФСТЭК России","ООО «Фактор-ТС»","123290, г. Москва, 1-й Магистральный проезд, д. 11, стр. 1, эт. 5, пом. I, комн. 4, (495) 644-3130",
"363/2","11.06.2004","11.06.2019","виброакустический генератор «БАРОН»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","ООО «АТЦ»",,"Сибирское главное управление Центрального банка Российской Федерации","630099, г. Новосибирск, Красный проспект, д. 27, (383) 217- 6016",
"363/5","06.07.2011","06.07.2020","виброакустический генератор «БАРОН»","Соответствует требованиям документов: НМД АРР-2000, ТУ","1","=#N/A","Нижегородский НТЦ ФГУП «НПП «Гамма»","ООО «ЛУКОЙЛ-Волганефтепродукт»","603950, г. Нижний Новгород, ГСП-61, ул. Грузинская, д. 26, (831) 278-9900",
"371","16.10.2000","05.12.2023","устройство защиты громкоговорителей «УЗГ»","Соответствует требованиям документов: ТУ","серия","ФГУ «12 ЦНИИ Минобороны России»","Гостехкомиссия России","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",
"404","19.12.2000","23.01.2024","устройство блокирования несанкционированного включения микрофонов цифрового телефонного аппарата (УБМ-1)","Соответствует требованиям документов: ТУ","серия","ФГУ «12 ЦНИИ Минобороны России»","Гостехкомиссия России","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",
"428/8","28.04.2010","28.04.2019","программа фиксации и контроля исходного состояния программного комплекса «ФИКС» (версии 2.0)","Соответствует требованиям документов: РД НДВ(4)","1","ФГУП «НПП «Гамма»",,"ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",
"451","31.05.2004","05.06.2019","анализатор исходных текстов С и С++ программ (АИСТ-С)","Соответствует требованиям документов: РД НДВ(4)","серия","ООО «ЦБИ»","Гостехкомиссия России","АО «ЦБИ-сервис»","141090, Московская область, городской округ Королев, микрорайон Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498","05.06.2024"
"604/2","07.04.2005","07.04.2020","абонентское устройство защиты информации «Гранит-8»","Соответствует требованиям документов: ТУ","серия","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"633/1","15.06.2005","15.06.2020","генератор акустического шума «ЛГШ-301»","Соответствует требованиям документов: ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","АО «Лаборатория ППШ»","Гостехкомиссия России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170",
"634/8","23.03.2009","23.03.2021","система виброакустической и акустической защиты «Шторм-2»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","ФГБОУ ВО «Иркутский государственный университет путей сообщения»","664074, г. Иркутск, ул. Чернышевского, д. 15, (3952) 63-8348",
"634/9","22.04.2009","22.04.2021","система виброакустической и акустической защиты «Шторм-2»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","филиал «Сибирский территориальный округ» ФГУП «РосРАО»","664022, г. Иркутск, ул. 6-я Советская, д. 20, (3952) 70-0907",
"634/14","30.09.2009","30.09.2021","система виброакустической и акустической защиты «Шторм-2»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","УФК по Новосибирской области","630011, г. Новосибирск, ул. Кирова, д. 3/1, (383) 218-0807",
"634/18","15.04.2013","15.04.2019","система виброакустической и акустической защиты «Шторм-2»","Соответствует требованиям документов: ТУ","1","ООО по защите информации «Секрет-Сервис»",,"ОАО «Иргиредмет»","664025, г. Иркутск, бульвар Гагарина, д. 38, (3952) 33-3152",
"640/14","06.04.2011","06.04.2020","система защиты информации «Secret Net 2000» версии 4.0 (автономный вариант) под управлением ОС MS Windows 2000","Соответствует требованиям документов: РД НДВ(3), РД СВТ(3), ТУ","5","ФГУП «ПО «Маяк»",,"ФГУП «ПО «Маяк»","456784, Челябинская обл., г. Озерск, пр-т Ленина, д. 31, (35130) 2-5011",
"640/120/1","28.12.2012","28.12.2018","система защиты информации «Secret Net 2000» версии 4.0 (автономный вариант) под управлением ОС MS Windows 2000","Соответствует требованиям документов: РД НДВ(3), РД СВТ(3), ТУ","31","=#N/A",,"УМВД России по Курской области","305000, г. Курск, ул. Серафима Саровского, д. 2, (4712) 36-8855",
"643","05.07.2002","31.10.2020","система оценки защищенности выделенных помещений по виброакустическому каналу «ШЕПОТ»","Соответствует требованиям документов: НМД АРР-2000, ТУ","серия","ООО «ЦБИ»","Гостехкомиссия России","ООО «ЦБИ «МАСКОМ»","119607, г. Москва, Мичуринский проспект, д. 27, к. 2, подв. помещение 48, (495) 136-4010","бессрочно"
"644","05.07.2002","31.01.2019","программа управления системой «Шепот» и расчета параметров защищенности выделенных помещений по виброакустическому каналу «ШЕПОТ-ИНТЕРФЕЙС»","Соответствует требованиям документов: РД НДВ(3), ТУ","серия","ООО «ЦБИ»","Гостехкомиссия России","ООО «ЦБИ «МАСКОМ»","119607, г. Москва, Мичуринский проспект, д. 27, к. 2, подв. помещение 48, (495) 136-4010","бессрочно"
"646","15.07.2002","19.07.2021","генератор шума «Зевс-2»","Соответствует требованиям документов: ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","Государственное унитарное дочернее предприятие ФГУП «Красноармейский НИИ механизации «Безопасность информационных технологий и компонентов»","Гостехкомиссия России","ООО фирма «ЛЕК ХХI век»","105094, г. Москва, ул. Госпитальный вал, д. 5, корп. 15, кв. 6, (495)725-2640",
"651","26.07.2017","01.08.2020","фильтр сетевой помехоподавляющий ФСПК-40-220-99-УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","31.12.2034"
"662","05.09.2002","20.01.2021","программно-аппаратный комплекс «Shield Multi Service - FW»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ЗАО «НПП «БИТ»","Гостехкомиссия России","ООО «ЛИССИ-Софт»","141090, Московская обл., г. Королев, мкрн. Юбилейный, ул. Ленинская, д. 4, пом. 7, (495) 589-9953",
"674","14.10.2002","07.08.2021","комплекс акустической и вибрационной защиты «ЗОНА-2»","Соответствует требованиям документов: ТУ","срок действия продлен для СЗИ, эксплуатируемых на ОИ","Государственное унитарное дочернее предприятие ФГУП «Красноармейский НИИ механизации «Безопасность информационных технологий и компонентов»","Гостехкомиссия России","ООО фирма «ЛЕК ХХI век»","105094, г. Москва, ул. Госпитальный вал, д. 5, корп. 15, кв. 6, (495)725-2640",
"677/1","05.05.2012","05.05.2023","программный пакет для разработки приложений, реализующих функции обеспечения целостности информации «ФИКС-библиотека 1.0»","Соответствует требованиям документов: РД НДВ(2)","1","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «АЛТЭКС-СОФТ»","141067, Московская обл., г. Королев, мкр-н Болшево, ул. Маяковского, д. 10А, пом. VII, (495) 543-3101",
"678/5","28.04.2010","28.04.2019","программа контроля состояния сертифицированных программных средств защиты информации» «ФИКС 3.0»","Соответствует требованиям документов: РД НДВ(2)","1","ФГУП «НПП «Гамма»",,"ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",
"680","30.10.2002","26.02.2021","программа фиксации и контроля целостности информации «ФИКС-UNIX 1.0»","Соответствует требованиям документов: РД НДВ(2)","серия","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «ЦБИ-сервис»","141090, Московская область, городской округ Королев, микрорайон Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498","26.02.2026"
"687/2/1","01.06.2009","01.06.2021","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","Отделение по Оренбургской области Уральского главного управления Банка России","460000, г. Оренбург, ул. Ленинская, д.28, (3532) 77-2333",
"687/10","02.09.2009","02.09.2021","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","УФК по Кемеровской области - Кузбассу","650993, г. Кемерово, ул. Мичурина, дом 54, (3842) 58-6086, (3842) 71-9005",
"687/11","02.09.2009","02.09.2018","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","2","=#N/A",,"Башкирское отделение Куйбышевской железной дороги – филиал ОАО «РЖД»","450015, г. Уфа, Карла Маркса ул., д. 69, (347) 229-1462",
"687/14","21.06.2010","21.06.2019","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","8","ООО «ЦБИ»",,"Федеральная таможенная служба","121087, г. Москва, ул. Новозаводская, д. 11/5",
"687/16","16.08.2011","16.08.2020","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","21","ООО «ЦБИ»","Гостехкомиссия России","Забайкальская железная дорога – филиал ОАО «РЖД»","672000, Забайкальский край, г. Чита, ул. Ленинградская, дом 34,",
"687/19","23.11.2011","23.11.2020","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","3","ООО «ЦБИ»","Гостехкомиссия России","Главное архивное управление города Москвы","117393, г. Москва, Профсоюзная ул., д. 80, (499) 128-7897",
"687/23","02.09.2009","18.05.2021","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","1","ООО «ЦБИ»","Гостехкомиссия России","Кольцовская таможня Уральского таможенного управления ФТС России","620025, г. Екатеринбург, Вечерний пер., д. 4, (343) 264-3701",
"687/25","25.02.2013","25.02.2019","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","1","УФК по Кемеровской области - Кузбассу",,"УФК по Республике Башкортостан","450076, Республика Башкортостан, г. Уфа, ул. Гоголя, д. 62, (347) 250-0715",
"687/27","16.08.2011","16.08.2020","cистема виброакустической защиты «ВГШ-103»","Соответствует требованиям документов: ТУ","8","ООО «ЦБИ»","Гостехкомиссия России","Забайкальская железная дорога – филиал ОАО «РЖД»","672000, Забайкальский край, г. Чита, ул. Ленинградская, дом 34,",
